Sample	Mash_Screen	Curation	MarkerScan	read_VAE
ilLasMege1	None	Nosema	Nosematidae	Nosema
ilLepSina1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilLimCami1	None	None	None	Rhodospirillales
ilLobHalt1	Carnobacterium	None	None	Carnobacterium
ilLupTest1	None	None	None	Curtobacterium; Methylobacterium
ilLycPhla1	Wolbachia, Asaia	Acetobacteraceae, viridiplantae, Wolbachia	Anaplasmataceae, Acetobacteraceae	Asaia; Wolbachia; Homo sapiens
ilLymMona1	None	None	None	None
ilLysBell1	None	None	None	None
ilLysCori1	None	None	None	None
ilMacNota1	None	None	None	None
ilMamBras1	None	None	None	None
ilManJurt1	Asaia	Acetobacteraceae, viridiplantae	Acetobacteraceae	Asaia; Sphingomonas
ilManJurt4	Asaia, Enterococcus, Serratia, Moellerella	Acetobacteraceae, viridiplantae	Acetobacteraceae	Asaia, Stenotrophomonas, Serratia; Enterococcus; Providencia rettgeri; viridiplantae
ilMarLuna1	None	None	None	None
ilMegAlbu1	None	None	None	None
ilMelAtha1	None	None	None	Ascochyta rabiei
ilMelCinx1	None	None	None	None
ilMelGala1	Wolbachia	Wolbachia	Anaplasmataceae, Spiroplasmataceae	Wolbachia
ilMelGala2	Wolbachia, Spiroplasma	Rickettsiales,Entomoplasmatales,Flavobacteriales		Wolbachia; Spiroplasma
ilMesFuru1	None	None	None	None
ilMimTili1	None	None	None	Rhodococcus
ilMytAlbi1	None	None	None	None
ilMytFerr1	Enterococcus, Moellerella	Enterococcus	None	Enterococcus; Rahnella; Variovorax
ilMytImpu1	None	Microsporidia	Nosematidae	Nosema
ilNeoMoll1	None		None	None
ilNocCome1	None		None	Allokutzneria
ilNocFimb1	Sphingomonas	None	None	Sphingomonas
ilNocJant1	None	None	None	None
ilNocPron1	None	None	None	None
ilNotDrom1	None	None	None	None
ilNotUddm1	Lonsdalea, Rahnella	Rahnella aquatilis, Lonsdalea britannica, Dickeya zeae	Yersiniaceae, Pectobacteriaceae	Rahnella; Dickeya; Lonsdalea; Sodalis; Cutibacterium
ilNotZicz1	None	None	None	None
ilNymPoly1	Wolbachia		None	None
ilOchPlec1	None		None	None
ilOchSylv3	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilOmpLuno1	None	None	None	Propionibacterium
ilOpeBrum1	None	None	None	Actinobacteria
ilOpiLute1	Wolbachia, Enterococcus	Wolbachia	Anaplasmataceae, Debaryomycetaceae	Wolbachia; Scheffersomyces
ilOrgAnti1	Wolbachia, Enterobacter, Acinetobacter	Caudoviricetes,Enterobacterales,Pseudomonadales,Rickettsiales,Burkholderiales	Anaplasmataceae,Enterobacteriaceae	Enterobacter; Wolbachia; Brevibacterium
ilOrgAnti2	Wolbachia, Enterobacter, Acinetobacter, Enterococcus			Wolbachia; Wolbachia; Nocardioides; Lasiodiplodia
ilOstNubi1	Carnobacterium		None	None
ilPamFasc1	Wolbachia, Commensalibacter	Wolbachia	Anaplasmataceae	Wolbachia
ilPanCinn1	Wolbachia	Anaplasmataceae	Anaplasmataceae	Wolbachia
ilPanCory1	Wolbachia		Anaplasmataceae	Wolbachia
ilPapMach1	None	None	None	Mesorhizobium
ilParAegt1	Wolbachia	Wolbachia, microsporidia	Anaplasmataceae	Wolbachia; Encephalitozoon
ilParStra1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilPerAlce1	None	None	None	Erwinia
ilPerFlao1	None		None	Streptomyces
ilPerRhom1	Serratia, Moellerella, Enterococcus, Carnobacterium, Erwinia	Enterobacteriaceae, Erwiniaceae, Morganellaceae, Pectobacteriaceae, Yersiniaceae	Yersiniaceae, Erwiniaceae	Serratia; Leptomonas; Pantoea; Enterobacter; Ewingella; Carnobacterium, Streptomyces, Enterococcus
ilPhaBuce1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilPheGnom1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia; Mesorhizobium; Gemmata
ilPheTrem1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia; Rhodospirillales; Tsukamurella
ilPhiVetu1	None	None	None	Conexibacter
ilPhlMeti2	None	None	None	None
ilPhoMini1	Pseudomonas, Erwinia		Erwiniaceae	Pseudomonas; Erwinia
ilPhrFuli1	None	None	None	Gordonia
ilPieBrab1	None	None	None	Bradyrhizobium
ilPieNapi1	None	None	None	Mesorhizobium
ilPieNapi4	None	None	None	Actinomyces
ilPieRapa1	None	None	None	Sphingomonas
ilPleArgu1	Acinetobacter	None	None	Actinomyces
ilPluXylo3	Plutella xylostella	None	None	Ralstonia
ilPolCalb1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilPolIcar1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilPsoGibb1	None		None	Streptomyces
ilPtiCapc1	None	None	None	None
ilPtyAeri1	None		None	None
ilPyrMalv3	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilRhoNaev1	Wolbachia		Anaplasmataceae, Marchantiidae	Marchantia; Wolbachia; Nocardioides; Mycobacterium
ilSchCost1	None	None	None	None
ilScoChen1	Enterococcus, Asaia, Pantoea		Acetobacteraceae,Enterococcaceae,Metschnikowiaceae	Enterococcus; Pseudomonas; Erwinia; Asaia; Metschnikowiaceae
ilSelDent1	None	None	None	None
ilSesApif2	None	None	None	None
ilSphPina1	Pseudomonas, Rahnella	Caudoviricetes, bacilli, gamma proteobacteria	Pseudomonadaceae, Yersiniaceae	Rahnella; Pseudomonas
ilSpiLubr1	None	None	None	Aspergillus
ilSpiLutu1	None	None	None	Pseudonocardia
ilSynVesp1	None	None	None	Zymobacter
ilThuSene1	Carnobacterium		None	Dietzia; Sphingomonas; Exophiala; Carnobacterium
ilThyBati1	None	None	None	None
ilThyLine1	Asaia, Saccharibacter	Acetobacteraceae, viridiplantae	Acetobacteraceae	Asaia; Gluconobacter
ilThySylv1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia
ilTinSemi1	None	None	None	None
ilTinTrin1	None	None	None	None
ilUdePrun1	None		Nosematidae	Nosema
ilVanAtal1	None	None	None	None
ilVanCard2	None	None	None	None
ilWatBina1	Wolbachia, Pantoea, Rahnella	Enterobacterales,Rickettsiales	Anaplasmataceae, Yersiniaceae	Wolbachia, Rahnella; Xanthomonas; Enterococcus; Pantoea
ilXanFluc1	None		None	None
ilXesCnig1	Wolbachia	Alphaproteobacteria	Anaplasmataceae	Wolbachia
ilXesXant1	None	None	None	Rhodococcus
ilYpoPlub1	Wolbachia	Wolbachia	Anaplasmataceae	Wolbachia; Rhodococcus
ilYpoSedl1	None	None	None	None
ilYpsScab1	None	None	None	None
ilYpsSequ1	None		None	None
ilYpsSequ2	None	None	None	Cutibacterium
ilZeiIser1	Erwinia, Lonsdalea		Spiroplasmataceae	Spiroplasma; Erwinia; Lonsdalea
ilZeuPyri1	None	None	None	None
ilZygFili1	Carnobacterium		None	Metschnikowiaceae; Carnobacterium; Pantoea
